*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 10, 2021 14:49:00

*RUN   1        : 20 IRRIG, light rate,freq MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq MZCER047
  
! TAV  =    20.9
! TAMP =    13.4
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    
 2020 130     1    17.4    17.3    17.3    17.1    17.0    16.9    16.9    16.8    16.9
 2020 131     2    17.7    17.6    17.5    17.4    17.3    17.2    17.1    17.0    17.0
 2020 132     3    15.9    15.9    15.9    15.8    15.8    15.8    15.8    15.8    16.2
 2020 133     4    14.0    14.0    14.0    14.0    14.1    14.2    14.2    14.5    15.2
 2020 134     5    14.4    14.4    14.4    14.5    14.5    14.6    14.6    14.8    15.4
 2020 135     6    15.1    15.1    15.1    15.1    15.1    15.1    15.2    15.3    15.8
 2020 136     7    16.5    16.5    16.5    16.4    16.3    16.3    16.3    16.3    16.5
 2020 137     8    19.7    19.6    19.5    19.2    19.0    18.9    18.7    18.3    18.0
 2020 138     9    23.2    23.2    22.9    22.5    22.1    21.8    21.5    20.7    19.8
 2020 139    10    24.8    24.7    24.4    24.0    23.5    23.1    22.8    21.7    20.6
 2020 140    11    25.4    25.3    25.0    24.5    24.0    23.6    23.2    22.2    20.9
 2020 141    12    25.4    25.3    25.0    24.5    24.0    23.6    23.2    22.1    20.9
 2020 142    13    25.7    25.6    25.3    24.8    24.3    23.8    23.5    22.4    21.0
 2020 143    14    25.7    25.5    25.2    24.8    24.3    23.8    23.5    22.4    21.1
 2020 144    15    26.5    26.3    26.0    25.5    25.0    24.5    24.1    23.0    21.5
 2020 145    16    26.2    26.1    25.8    25.3    24.7    24.3    23.9    22.8    21.4
 2020 146    17    24.9    24.8    24.5    24.1    23.6    23.3    22.9    21.9    20.7
 2020 147    18    24.6    24.5    24.3    23.8    23.4    23.0    22.7    21.7    20.6
 2020 148    19    24.2    24.1    23.8    23.4    23.0    22.7    22.4    21.5    20.4
 2020 149    20    23.3    23.2    23.0    22.6    22.2    21.9    21.7    20.9    19.9
 2020 150    21    24.1    24.0    23.7    23.3    22.9    22.6    22.3    21.4    20.3
